IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a terrorist	NA	a convict	NA	0.262379032258065	0.0354697732438636	0.524758064516129	-1
a soldier	NA	an olympian	NA	0.706568807339449	0.0439249031722433	0.586862385321101	1
a terrorist	NA	a pedophile	NA	0.559059829059829	0.0373500327547625	0.881880341880342	1
a convict	NA	a thief	NA	0.592861111111111	0.0417223255883813	0.814277777777778	1
a nun	NA	a teacher	NA	0.382627659574468	0.0304841760414705	0.765255319148936	-1
a congressman	NA	an elderly person	NA	0.31483203125	0.0291883210027725	0.6296640625	-1
a mentor	NA	a teacher	NA	0.480287234042553	0.0310339060568433	0.960574468085106	-1
an astronaut	NA	a celebrity	NA	0.612647321428571	0.0435105745229655	0.774705357142857	1
a celebrity	NA	an astronaut	NA	0.386848214285714	0.0450233773948329	0.773696428571429	-1
an addict	NA	a soldier	NA	0.143088495575221	0.0324790924863352	0.286176991150442	-1
a convict	NA	a nun	NA	0.200507874015748	0.0343762338111447	0.401015748031496	-1
a mentor	NA	an assassin	NA	0.940091666666667	0.0211364814496238	0.119816666666667	1
a gang member	NA	an addict	NA	0.332552631578947	0.0432723076168545	0.665105263157895	-1
an astronaut	NA	a mother	NA	0.230027659574468	0.0262358872607522	0.460055319148936	-1
a teacher	NA	an elderly person	NA	0.506765091863517	0.0256619687996979	0.986469816272966	1
a mother	NA	a soldier	NA	0.609435344827586	0.0307633381250807	0.781129310344828	1
a celebrity	NA	a mentor	NA	0.354373873873874	0.0434505645817252	0.708747747747748	-1
a soldier	NA	an assassin	NA	0.963148305084746	0.0165647475810022	0.0737033898305084	1
a mother	NA	an elderly person	NA	0.709358267716535	0.0231990242487634	0.581283464566929	1
a teacher	NA	a soldier	NA	0.394215517241379	0.0319553855692732	0.788431034482759	-1
a nun	NA	an assassin	NA	0.906916666666667	0.0257858093438828	0.186166666666667	1
a soldier	NA	a terrorist	NA	0.988574561403509	0.00914273329930476	0.0228508771929825	1
a judge	NA	an addict	NA	0.713995614035088	0.0413869561957285	0.572008771929825	1
an olympian	NA	a judge	NA	0.508859090909091	0.0487728612496111	0.982281818181818	1
a gang member	NA	a judge	NA	0.150793103448276	0.0325643116611714	0.301586206896552	-1
an adult	NA	a convict	NA	0.80844776119403	0.020736679381144	0.38310447761194	1
an addict	NA	a judge	NA	0.286399122807018	0.0410333039781037	0.572798245614035	-1
a soldier	NA	a mentor	NA	0.623862068965517	0.0434006323362007	0.752275862068966	1
a police officer	NA	a gang member	NA	0.879665322580645	0.0280137824759726	0.24066935483871	1
an astronaut	NA	a thief	NA	0.905826271186441	0.0250068951293665	0.188347457627119	1
a father	NA	an elderly person	NA	0.664264397905759	0.0247451237425081	0.671471204188482	1
a mentor	NA	a convict	NA	0.84544094488189	0.0311402136857599	0.30911811023622	1
an elderly person	NA	a father	NA	0.335246073298429	0.0241557299842728	0.670492146596859	-1
an adult	NA	a soldier	NA	0.350699074074074	0.0269794680856997	0.701398148148148	-1
an olympian	NA	a teacher	NA	0.390300438596491	0.0317114343260245	0.780600877192982	-1
a teacher	NA	a pedophile	NA	0.992048728813559	0.00534652722277403	0.0159025423728814	1
a pedophile	NA	a judge	NA	0.0212669491525424	0.01282982472962	0.0425338983050847	-1
an elderly person	NA	a mentor	NA	0.509083018867925	0.0317502139528856	0.981833962264151	1
a celebrity	NA	a nun	NA	0.438103603603604	0.0459481471317296	0.876207207207207	-1
a teacher	NA	a gang member	NA	0.904068669527897	0.0181898106177804	0.191862660944206	1
a soldier	NA	a mother	NA	0.389096982758621	0.0318209087713001	0.778193965517241	-1
a celebrity	NA	a teacher	NA	0.336354625550661	0.0310211871610285	0.672709251101322	-1
a mentor	NA	a rapist	NA	0.980786885245902	0.0117494180919072	0.0384262295081967	1
