IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a soldier	NA	a mentor	NA	0.624064655172414	0.0435575282612158	0.751870689655172	1
a police officer	NA	a gang member	NA	0.880971774193548	0.0282213774242925	0.238056451612903	1
an astronaut	NA	a thief	NA	0.907377118644068	0.0267771983333339	0.185245762711864	1
a father	NA	an elderly person	NA	0.666965968586387	0.0249277642860697	0.666068062827225	1
a mentor	NA	a convict	NA	0.845295275590551	0.0316116102562367	0.309409448818898	1
an elderly person	NA	a father	NA	0.332918848167539	0.0241652373226271	0.665837696335078	-1
an adult	NA	a soldier	NA	0.351225308641975	0.0268485634538275	0.702450617283951	-1
an olympian	NA	a teacher	NA	0.388578947368421	0.0309185573456522	0.777157894736842	-1
a teacher	NA	a pedophile	NA	0.992021186440678	0.00547739272343962	0.0159576271186441	1
a pedophile	NA	a judge	NA	0.0210338983050847	0.0124848266032646	0.0420677966101695	-1
an elderly person	NA	a mentor	NA	0.509824528301887	0.0320084730319117	0.980350943396227	1
a celebrity	NA	a nun	NA	0.438986486486486	0.0460783764530885	0.877972972972973	-1
a teacher	NA	a gang member	NA	0.902416309012876	0.0177115272062116	0.195167381974249	1
a soldier	NA	a mother	NA	0.388396551724138	0.0320517340298492	0.776793103448276	-1
a celebrity	NA	a teacher	NA	0.337367841409692	0.0302081780957498	0.674735682819383	-1
a mentor	NA	a rapist	NA	0.979717213114754	0.0117492342074478	0.0405655737704917	1
an elderly person	NA	a mother	NA	0.290660104986877	0.0240974644876005	0.581320209973753	-1
a mentor	NA	a soldier	NA	0.375491379310345	0.0433295912632908	0.75098275862069	-1
an astronaut	NA	a teacher	NA	0.42853829787234	0.0309685426693347	0.857076595744681	-1
a gang member	NA	a police officer	NA	0.119012096774194	0.0281769755045196	0.238024193548387	-1
a rapist	NA	a father	NA	0.0093744769874477	0.00599358578227028	0.0187489539748954	-1
an olympian	NA	an adult	NA	0.4562125	0.0269968147694352	0.912425	-1
an olympian	NA	a nun	NA	0.511647321428571	0.0434774138410848	0.976705357142857	1
a rapist	NA	a celebrity	NA	0.0918391304347826	0.0251886772183101	0.183678260869565	-1
a celebrity	NA	a thief	NA	0.796190909090909	0.0376736887958778	0.407618181818182	1
a celebrity	NA	a convict	NA	0.717575630252101	0.0406638417928175	0.564848739495798	1
a thief	NA	a soldier	NA	0.0531608695652174	0.0201755078099065	0.106321739130435	-1
a judge	NA	a nun	NA	0.50075641025641	0.0431347864981541	0.998487179487179	1
a terrorist	NA	a thief	NA	0.339226086956522	0.0409698838883902	0.678452173913043	-1
a soldier	NA	a celebrity	NA	0.743463302752294	0.0409268353188048	0.513073394495413	1
an astronaut	NA	a police officer	NA	0.443365079365079	0.0422445462050734	0.886730158730159	-1
an elderly person	NA	an olympian	NA	0.590372093023256	0.0305116841883906	0.819255813953488	1
a congressman	NA	a father	NA	0.19238986784141	0.0260228615503226	0.384779735682819	-1
a police officer	NA	a celebrity	NA	0.645483050847458	0.0430161977501422	0.709033898305085	1
an assassin	NA	a teacher	NA	0.0531377118644068	0.0143252549339581	0.106275423728814	-1
a police officer	NA	a thief	NA	0.905645161290323	0.0252637155002503	0.188709677419355	1
a thief	NA	an addict	NA	0.304605263157895	0.042853135874625	0.609210526315789	-1
an addict	NA	a nun	NA	0.283208695652174	0.0393233786066592	0.566417391304348	-1
a celebrity	NA	an olympian	NA	0.427625	0.0480954678563195	0.85525	-1
a nun	NA	an addict	NA	0.719869565217391	0.0402367156263991	0.560260869565217	1
a father	NA	a gang member	NA	0.934923076923077	0.0158452893045052	0.130153846153846	1
an addict	NA	a terrorist	NA	0.834274336283186	0.0339044891190268	0.331451327433628	1
a father	NA	a thief	NA	0.959053191489362	0.012029641590073	0.0818936170212765	1
an assassin	NA	a mentor	NA	0.0598666666666667	0.0204551833440023	0.119733333333333	-1
a mentor	NA	an addict	NA	0.787986956521739	0.0357624190195546	0.424026086956522	1
a convict	NA	an assassin	NA	0.64203125	0.0398323322297695	0.7159375	1
a pedophile	NA	a mother	NA	0.00224255319148936	0.00271534104956433	0.00448510638297872	-1
a rapist	NA	an olympian	NA	0.0328086956521739	0.0160147919876997	0.0656173913043478	-1
a celebrity	NA	a rapist	NA	0.909726086956522	0.024812109976421	0.180547826086957	1
a congressman	NA	an astronaut	NA	0.35125	0.0454193546095169	0.7025	-1
a convict	NA	a terrorist	NA	0.738048387096774	0.0363561226941981	0.523903225806452	1
a gang member	NA	a mentor	NA	0.104974358974359	0.0273614083514583	0.209948717948718	-1
an elderly person	NA	a nun	NA	0.605167924528302	0.0292030392062223	0.789664150943396	1
a teacher	NA	an adult	NA	0.553520316027088	0.0235109831882043	0.892959367945824	1
an addict	NA	a congressman	NA	0.402943396226415	0.0464307946091445	0.80588679245283	-1
a terrorist	NA	an astronaut	NA	0.022017094017094	0.0131873572913584	0.044034188034188	-1
a soldier	NA	a teacher	NA	0.607006465517241	0.0304858483185439	0.785987068965517	1
a mentor	NA	an adult	NA	0.535409785932722	0.026647158188682	0.929180428134557	1
an adult	NA	an assassin	NA	0.91457012195122	0.0152008287538922	0.170859756097561	1
an addict	NA	a teacher	NA	0.198112554112554	0.0240453321476626	0.396225108225108	-1
a thief	NA	a mentor	NA	0.0844915254237288	0.0250944329216182	0.168983050847458	-1
a pedophile	NA	a thief	NA	0.283710084033613	0.0360250895278379	0.567420168067227	-1
a police officer	NA	a mentor	NA	0.508648	0.0436991729179594	0.982704	1
a mother	NA	a congressman	NA	0.838837777777778	0.0234613350355229	0.322324444444444	1
a convict	NA	an adult	NA	0.191273134328358	0.0214528128527296	0.382546268656716	-1
